site_name,site_id,latitude,longitude
Little Rock Lake,LIRO,45.998269,-89.704767
West St Louis Creek,WLOU,39.89137,-105.9154
Pu'u Maka'ala Natural Area Reserve,PUUM,19.55309,-155.31731
Flint River,FLNT,31.18542,-84.4374
McDiffett Creek,MCDI,38.94428,-96.44197
Lewis Run,LEWI,39.09564,-77.98322
Blue River,BLUE,34.44422,-96.6242
Teakettle 2 Creek,TECR,36.95528,-119.02699
Lower Hop Brook,HOPB,42.47179,-72.32963
Martha Creek,MART,45.79125,-121.93196
Upper Big Creek,BIGC,37.058,-119.256
Red Butte Creek,REDB,40.78374,-111.79765
Onaqui,ONAQ,40.17759,-112.45244
Santa Rita Experimental Range,SRER,31.91068,-110.83549
Jornada LTER,JORN,32.59068,-106.84254
Niwot Ridge Mountain Research Station,NIWO,40.05425,-105.58237
Sycamore Creek,SYCA,33.74906,-111.5069
Como Creek,COMO,40.03496,-105.54487
Moab,MOAB,38.24833,-109.38827
Yellowstone Northern Range (Frog Rock),YELL,44.95348,-110.53914
Blacktail Deer Creek,BLDE,44.95011,-110.58715
Pringle Creek,PRIN,33.37859,-97.78226
LBJ National Grassland ,CLBJ,33.40123,-97.57
McRae Creek,MCRA,44.2596,-122.16555
Wind River Experimental Forest,WREF,45.82049,-121.95191
Abby Road,ABBY,45.76243,-122.33033
Lower Teakettle,TEAK,37.00583,-119.00602
"Caribou Creek, Caribou-Poker Creeks Research Watershed",CARI,65.15306,-147.50246
Caribou-Poker Creeks Research Watershed,BONA,65.15401,-147.50258
Delta Junction,DEJU,63.88112,-145.75136
Healy,HEAL,63.87569,-149.21334
Toolik Lake,TOOK,68.630692,-149.610636
Toolik,TOOL,68.66109,-149.37047
Oksrukuyik Creek,OKSR,68.66975,-149.14302
Utqiaġvik ,BARR,71.28241,-156.61936
Soaproot Saddle,SOAP,37.03337,-119.26219
San Joaquin Experimental Range,SJER,37.10878,-119.73228
Lenoir Landing,LENO,31.85388,-88.16122
Ordway-Swisher Biological Station - Suggs Lake,SUGG,29.68705,-82.01617
Klemme Range Research Station,OAES,35.41059,-99.05879
Central Plains Experimental Range,CPER,40.81553,-104.7456
Arikaree River,ARIK,39.75825,-102.4471
"North Sterling, CO",STER,40.4619,-103.0293
Treehaven,TREE,45.49369,-89.58571
UNDERC,UNDE,46.23388,-89.53725
Crampton Lake,CRAM,46.21111,-89.47825
Steigerwaldt Land Services,STEI,45.50894,-89.58637
Rio Guilarte,GUIL,18.1741,-66.79851
Lajas Experimental Station,LAJA,18.02125,-67.0769
Guanica Forest,GUAN,17.96955,-66.8687
Rio Cupeyes,CUPE,18.11352,-66.98676
Ordway-Swisher Biological Station,OSBS,29.68927,-81.99343
Ordway-Swisher Biological Station - Barco Lake,BARC,29.67647,-82.00909
Disney Wilderness Preserve,DSNY,28.12504,-81.4362
Jones Ecological Research Center,JERC,31.19484,-84.46861
Blandy Experimental Farm,BLAN,39.06026,-78.07164
Smithsonian Environmental Research Center,SERC,38.89008,-76.56001
Smithsonian Conservation Biology Institute,SCBI,38.89292,-78.1395
Posey Creek,POSE,38.89332,-78.14678
Bartlett Experimental Forest,BART,44.06388,-71.28731
Konza Prairie Biological Station - Relocatable,KONA,39.11044,-96.61295
Kings Creek,KING,39.10506,-96.60336
Konza Prairie Biological Station,KONZ,39.10077,-96.56309
"Rocky Mountain National Park, CASTNET",RMNP,40.27591,-105.54592
Woodworth,WOOD,47.12823,-99.24136
Prairie Pothole ,PRPO,47.12999,-99.25055
Northern Great Plains Research Laboratory,NOGP,46.76972,-100.91535
Prairie Lake at Dakota Coteau Field School,PRLA,47.15909,-99.11388
Dakota Coteau Field School,DCFS,47.16165,-99.10656
Talladega National Forest,TALL,32.95046,-87.39327
Mayfield Creek,MAYF,32.95966,-87.40813
Lower Tombigbee River at Choctaw Refuge,TOMB,31.8521,-88.16107
Dead Lake,DELA,32.54172,-87.80389
Black Warrior River near Dead Lake,BLWA,32.54153,-87.79815
Walker Branch,WALK,35.95947,-84.28041
Oak Ridge,ORNL,35.96412,-84.2826
Mountain Lake Biological Station,MLBS,37.37828,-80.52484
LeConte Creek,LECO,35.69043,-83.50379
"Great Smoky Mountains National Park, Twin Creeks",GRSM,35.68896,-83.50195
The University of Kansas Field Station,UKFS,39.04043,-95.19215
Harvard Forest,HARV,42.5369,-72.17266